;condition;id;stimulus_nc;responses;repetitions;object_str;feature_str;;object_se;feature_se
165;hol;VP05;comb_many;"kämmende Frau""}";1;irrel;irrel;;rel;irrel
166;seq;VP06;comb_many;"Haare kämmen""}";1;irrel;irrel;;rel;irrel
167;hol;VP07;comb_many;"schöne Haare""}";1;irrel;irrel;;irrel;irrel
168;seq;VP08;comb_many;"Kämmen""}";1;ne;irrel;;rel;ne
169;hol;VP09;comb_many;"Modenschau""}";3;irrel;ne;;irrel;ne
170;seq;VP10;comb_many;"blinkende Scheibenwerfer""}";4;irrel;irrel;;irrel;irrel
171;hol;VP11;comb_many;"Haare kämmen ""}";1;irrel;irrel;;rel;irrel
172;seq;VP12;comb_many;"Haarkamm""}";6;rel;ne;;rel;ne
173;hol;VP13;comb_many;"Haarbürste""}";1;rel;ne;;rel;ne
174;seq;VP14;comb_many;"blinkende Haarbürste""}";3;rel;irrel;;rel;irrel
175;hol;VP15;comb_many;"kämmen""}";1;ne;irrel;;rel;ne
176;seq;VP16;comb_many;"Zehn Kämme""}";2;rel;rel;;rel;rel
177;hol;VP17;comb_many;"schöne Haare""}";1;irrel;irrel;;irrel;irrel
178;seq;VP18;comb_many;"Haarkamm""}";1;rel;ne;;rel;ne
179;hol;VP19;comb_many;"Bürste""}";5;rel;ne;;rel;ne
180;seq;VP20;comb_many;"Kamm mit 30 Zacken""}";3;rel;rel;;rel;rel
181;seq;VP01;comb_one;"Guter Kamm""}";1;rel;irrel;;rel;irrel
182;hol;VP02;comb_one;"gekämmte Haare""}";1;irrel;irrel;;rel;irrel
183;seq;VP03;comb_one;"Haarbürste""}";3;rel;ne;;rel;ne
184;hol;VP04;comb_one;"Kamm""}";2;rel;ne;;rel;ne
185;seq;VP05;comb_one;"kämmendes Kind ""}";1;irrel;irrel;;rel;irrel
186;hol;VP06;comb_one;"Haare kämmen""}";1;irrel;irrel;;rel;irrel
187;seq;VP07;comb_one;"schöne Haare""}";1;irrel;irrel;;irrel;irrel
188;hol;VP08;comb_one;"Kamm""}";1;rel;ne;;rel;ne
189;seq;VP09;comb_one;"Haarbürste""}";2;rel;ne;;rel;ne
190;hol;VP10;comb_one;"sich kämmende Person""}";2;irrel;irrel;;rel;irrel
191;seq;VP11;comb_one;"Spiegel, Haare frisieren""}";1;irrel;irrel;;irrel;irrel
192;hol;VP12;comb_one;"Haarbürste""}";2;rel;ne;;rel;ne
193;seq;VP13;comb_one;"Haare kämmen""}";1;irrel;irrel;;rel;irrel
194;hol;VP14;comb_one;"Haarbürste""}";1;rel;ne;;rel;ne
195;seq;VP15;comb_one;"Haare kämmen""}";1;irrel;irrel;;rel;irrel
196;hol;VP16;comb_one;"Haarkämmende Frau""}";4;irrel;irrel;;rel;irrel
197;seq;VP17;comb_one;"schöne Haare""}";1;irrel;irrel;;irrel;irrel
198;hol;VP18;comb_one;"Haarkamm""}";1;rel;ne;;rel;ne
199;seq;VP19;comb_one;"Haarkamm ""}";1;rel;ne;;rel;ne
200;hol;VP20;comb_one;"Bürste für die Haare""}";1;rel;irrel;;rel;irrel
201;hol;VP01;comb_small;"Keimen""}";1;irrel;ne;;irrel;ne
202;seq;VP02;comb_small;"Haargel auftragen""}";2;irrel;irrel;;irrel;irrel
203;hol;VP03;comb_small;"Haarbürste""}";2;rel;ne;;rel;ne
204;seq;VP04;comb_small;"Haargel""}";4;irrel;ne;;irrel;ne
205;hol;VP05;comb_small;"kämmender Mann""}";1;irrel;irrel;;rel;irrel
206;seq;VP06;comb_small;"Friseurbesuch""}";2;irrel;ne;;irrel;irrel
207;hol;VP07;comb_small;"lange Haare""}";1;irrel;irrel;;irrel;irrel
208;seq;VP08;comb_small;"streicheln""}";3;ne;irrel;;ne;irrel
209;hol;VP09;comb_small;"Haarbürste""}";1;rel;ne;;rel;ne
210;seq;VP10;comb_small;"Haargel""}";6;irrel;ne;;irrel;ne
211;hol;VP11;comb_small;"haare frisieren ""}";1;irrel;irrel;;irrel;irrel
212;seq;VP12;comb_small;"Haarbürste""}";3;rel;ne;;rel;ne
213;hol;VP13;comb_small;"Haarbürste""}";1;rel;ne;;rel;ne
214;seq;VP14;comb_small;"rundes Haargel""}";1;irrel;irrel;;irrel;irrel
215;hol;VP15;comb_small;"kämmen""}";1;ne;irrel;;rel;ne
216;seq;VP16;comb_small;"rote Hand""}";4;irrel;irrel;;irrel;irrel
217;hol;VP17;comb_small;"lange Haare""}";1;irrel;irrel;;irrel;irrel
218;seq;VP18;comb_small;"ein Kappe""}";3;irrel;ne;;irrel;ne
219;hol;VP19;comb_small;"Kamm ""}";2;rel;ne;;rel;ne
220;seq;VP20;comb_small;"Gel für die Haare""}";1;irrel;irrel;;irrel;irrel
221;seq;VP01;duck_big;"Lange Treppe""}";1;irrel;irrel;;irrel;irrel
222;hol;VP02;duck_big;"fliegende Ente""}";2;rel;irrel;;rel;irrel
223;seq;VP03;duck_big;"großer Ski""}";1;irrel;rel;;irrel;rel
224;hol;VP04;duck_big;"gackerndes Huhn""}";1;rel;irrel;;rel;irrel
225;seq;VP05;duck_big;"dicke Person, die läuft""}";4;irrel;rel;;irrel;rel
